feature,importance
number_inpatient,0.09740664002660479
discharge_disposition_id,0.07936339589818485
num_lab_procedures,0.07657591954446957
diag_1,0.07532914765012767
num_medications,0.07091816461673027
diag_2,0.06949861140720688
diag_3,0.06699454351006161
number_outpatient,0.056184017119873336
number_diagnoses,0.05438915929427123
admission_type_id,0.04439665273683739
time_in_hospital,0.04114033800460103
admission_source_id,0.03857470677195801
medical_specialty,0.03767286885850134
num_procedures,0.032894957966607755
number_emergency,0.02458902014242291
diabetesMed,0.024356020362010476
insulin,0.01859627254731124
race,0.013133180742648862
gender,0.01078784517404098
change,0.009708835738329459
metformin,0.008853338464950204
glipizide,0.008660103318812399
A1Cresult,0.007869810834450219
glyburide,0.007770658070800387
max_glu_serum,0.007198024281543045
rosiglitazone,0.0056027278458531116
pioglitazone,0.005236549084431786
glimepiride,0.0030589724151628356
repaglinide,0.0013335816564101599
nateglinide,0.0007258646014189967
glyburide-metformin,0.0007235559669558632
acarbose,0.00034199481849630614
chlorpropamide,6.0262393188459825e-05
miglitol,4.370465743976406e-05
tolbutamide,6.159324913927783e-06
tolazamide,4.3941523727935e-06
acetohexamide,0.0
citoglipton,0.0
examide,0.0
troglitazone,0.0
glipizide-metformin,0.0
metformin-rosiglitazone,0.0
glimepiride-pioglitazone,0.0
metformin-pioglitazone,0.0
age_numeric,0.0
